,zip_code,month,year,customer_class,combined,total_customers,total_Thm,average_Thm
405,95407,1,2013,Gas- Commercial,N,538,157599,293.0
406,95409,1,2013,Gas- Commercial,Y,0,0,
407,95425,1,2013,Gas- Commercial,Y,0,0,
408,95436,1,2013,Gas- Commercial,Y,0,0,
409,95439,1,2013,Gas- Commercial,Y,0,0,
410,95441,1,2013,Gas- Commercial,Y,0,0,
411,95442,1,2013,Gas- Commercial,Y,61,20625,338.0
412,95444,1,2013,Gas- Commercial,Y,0,0,
413,95448,1,2013,Gas- Commercial,Y,576,200249,348.0
414,95449,1,2013,Gas- Commercial,Y,0,0,
415,95452,1,2013,Gas- Commercial,Y,0,0,
416,95470,1,2013,Gas- Commercial,Y,0,0,
417,95472,1,2013,Gas- Commercial,Y,135,34395,255.0
418,95476,1,2013,Gas- Commercial,N,614,162589,265.0
419,95482,1,2013,Gas- Commercial,Y,802,249010,310.0
420,95490,1,2013,Gas- Commercial,N,231,57636,250.0
421,95492,1,2013,Gas- Commercial,Y,281,73620,262.0
422,95501,1,2013,Gas- Commercial,N,824,314418,382.0
423,95503,1,2013,Gas- Commercial,N,236,85942,364.0
424,95519,1,2013,Gas- Commercial,Y,227,66156,291.0
425,95521,1,2013,Gas- Commercial,Y,539,169621,315.0
426,95524,1,2013,Gas- Commercial,Y,0,0,
427,95525,1,2013,Gas- Commercial,Y,0,0,
428,95526,1,2013,Gas- Commercial,Y,0,0,
429,95528,1,2013,Gas- Commercial,Y,0,0,
430,95540,1,2013,Gas- Commercial,Y,403,101645,252.0
431,95547,1,2013,Gas- Commercial,Y,0,0,
432,95551,1,2013,Gas- Commercial,Y,0,0,
433,95552,1,2013,Gas- Commercial,Y,0,0,
434,95562,1,2013,Gas- Commercial,Y,0,0,
435,95564,1,2013,Gas- Commercial,Y,0,0,
436,95565,1,2013,Gas- Commercial,Y,0,0,
437,95602,1,2013,Gas- Commercial,Y,0,0,
438,95603,1,2013,Gas- Commercial,Y,1141,493056,432.0
439,95605,1,2013,Gas- Commercial,Y,0,0,
440,95606,1,2013,Gas- Commercial,Y,0,0,
441,95608,1,2013,Gas- Commercial,N,532,278492,523.0
442,95610,1,2013,Gas- Commercial,Y,613,313879,512.0
443,95612,1,2013,Gas- Commercial,Y,0,0,
444,95616,1,2013,Gas- Commercial,Y,1979,1055365,533.0
445,95618,1,2013,Gas- Commercial,Y,0,0,
446,95620,1,2013,Gas- Commercial,Y,0,0,
447,95621,1,2013,Gas- Commercial,N,173,91626,530.0
448,95624,1,2013,Gas- Commercial,Y,809,574906,711.0
449,95626,1,2013,Gas- Commercial,Y,0,0,
450,95627,1,2013,Gas- Commercial,Y,0,0,
451,95628,1,2013,Gas- Commercial,N,330,141951,430.0
452,95630,1,2013,Gas- Commercial,N,942,574168,610.0
453,95632,1,2013,Gas- Commercial,Y,255,149928,588.0
454,95635,1,2013,Gas- Commercial,Y,0,0,
455,95640,1,2013,Gas- Commercial,Y,0,0,
